,tmpf,relh,sknt,alti,vsby,skyl1
36410,53.6,93.6,3.0,30.09,4.97,3500.0
35203,86.0,48.58,8.0,29.85,6.21,3500.0
33640,87.8,43.07,12.0,29.85,6.21,4000.0
23805,64.4,88.09,2.0,30.09,6.21,3000.0
19611,73.4,78.19,2.0,29.91,6.21,3000.0
962,73.4,68.94,4.0,30.03,6.21,2000.0
55,68.0,100.0,6.0,30.06,4.35,2000.0
12879,66.2,59.74,0.0,30.09,6.21,3000.0
18227,68.0,82.86,6.0,30.06,4.97,2000.0
8322,68.0,82.86,3.0,30.0,6.21,2000.0
23133,73.4,49.9,5.0,30.09,6.21,3000.0
1636,78.8,69.52,6.0,30.03,6.21,2000.0
34298,69.8,82.98,2.0,30.0,3.73,1700.0
18559,78.8,69.52,0.0,29.91,6.21,3500.0
32370,60.8,77.14,3.0,30.09,6.21,1400.0
30166,59.0,82.25,2.0,30.24,3.73,1300.0
19663,71.6,94.06,2.0,30.06,3.73,300.0
13217,50.0,87.37,3.0,30.27,6.21,3000.0
2312,69.8,94.01,3.0,30.06,4.35,1300.0
20653,64.4,93.88,0.0,30.12,3.73,600.0
5500,57.2,87.74,4.0,30.36,6.21,300.0
33894,71.6,83.09,4.0,30.06,6.21,2500.0
15257,73.4,78.19,3.0,30.12,3.73,1200.0
14645,80.6,41.97,3.0,30.06,6.21,3000.0
29275,62.6,59.26,7.0,30.06,6.21,2500.0
37841,59.0,82.25,11.0,30.42,6.21,3000.0
13931,77.0,57.36,3.0,29.94,6.21,3000.0
18107,75.2,78.34,3.0,30.06,6.21,3000.0
16849,73.4,60.67,5.0,30.24,6.21,3000.0
16425,77.0,61.13,8.0,30.09,6.21,3000.0
22633,62.6,82.5,1.0,30.27,6.21,3000.0
31142,80.6,39.3,5.0,30.09,6.21,3000.0
14757,66.2,72.74,8.0,30.12,4.35,2000.0
33306,71.6,94.06,2.0,29.94,3.73,500.0
7512,55.4,87.65,0.0,30.0,4.97,3000.0
16845,62.6,88.0,5.0,30.21,6.21,3000.0
170,71.6,100.0,3.0,30.03,4.35,1500.0
26269,87.8,48.84,5.0,29.91,6.21,4000.0
1876,64.4,82.62,0.0,30.21,6.21,2000.0
31096,62.6,82.5,7.0,30.15,6.21,3000.0
24839,68.0,93.97,5.0,30.0,3.73,500.0
24175,64.4,88.09,0.0,30.09,4.35,3000.0
20879,60.8,82.37,0.0,30.09,6.21,3000.0
32652,66.2,93.92,3.0,29.85,2.49,2000.0
18039,71.6,88.43,3.0,30.12,6.21,3000.0
28679,66.2,77.6,2.0,30.12,6.21,1500.0
20395,73.4,78.19,7.0,30.06,6.21,2300.0
33682,73.4,83.21,5.0,29.94,6.21,3000.0
5098,62.6,72.38,7.0,30.24,6.21,1700.0
37620,62.6,48.28,5.0,30.12,6.21,3000.0
32868,78.8,57.6,5.0,30.15,6.21,3000.0
17569,87.8,45.88,5.0,30.0,6.21,3000.0
23425,71.6,56.63,0.0,30.09,6.21,3000.0
32570,69.8,94.01,3.0,29.94,3.73,3000.0
35012,86.0,42.8,5.0,30.09,6.21,4000.0
28851,68.0,77.75,3.0,30.12,2.49,900.0
5622,75.2,43.97,4.0,30.18,6.21,3000.0
23695,64.4,88.09,2.0,30.15,4.35,1300.0
37799,57.2,71.83,8.0,30.3,6.21,3000.0
37210,59.0,82.25,4.0,30.36,6.21,1000.0
26929,69.8,82.98,6.0,30.03,6.21,2300.0
19257,68.0,93.97,0.0,29.97,2.49,1300.0
5148,69.8,46.16,5.0,30.18,6.21,3000.0
40550,60.8,87.92,2.0,29.94,6.21,4500.0
11220,69.8,68.55,5.0,30.33,6.21,2000.0
23685,66.2,82.74,4.0,30.12,6.21,1700.0
4674,66.2,72.74,3.0,30.15,6.21,3000.0
23917,80.6,44.8,6.0,30.03,6.21,3000.0
23913,68.0,72.92,6.0,30.06,6.21,1500.0
9756,66.2,93.92,0.0,30.09,2.49,1000.0
19993,66.2,88.18,0.0,30.03,6.21,3000.0
16741,73.4,49.9,4.0,29.97,6.21,4000.0
30722,55.4,81.99,0.0,30.36,6.21,3000.0
10912,82.4,54.55,3.0,29.94,6.21,2500.0
13351,80.6,36.79,3.0,30.24,6.21,3000.0
20949,69.8,88.34,3.0,29.97,6.21,4000.0
10712,66.2,93.92,0.0,30.03,3.73,1200.0
7488,64.4,63.6,2.0,29.85,4.97,1300.0
18031,84.2,54.8,10.0,30.09,6.21,4000.0
21853,55.4,62.46,3.0,30.39,6.21,2000.0
16821,51.8,100.0,1.0,30.15,6.21,1100.0
23005,66.2,59.74,2.0,30.3,6.21,2000.0
27907,78.8,61.36,6.0,30.0,6.21,3000.0
22813,64.4,59.5,5.0,30.36,6.21,3000.0
16505,64.4,100.0,2.0,30.09,6.21,1000.0
18987,82.4,69.9,5.0,29.97,6.21,4000.0
39035,69.8,64.26,7.0,30.06,6.21,2300.0
25987,75.2,69.14,13.0,30.03,6.21,2600.0
21023,64.4,88.09,2.0,30.12,6.21,2000.0
40037,75.2,60.9,3.0,29.8,6.21,3500.0
9033,71.6,88.43,3.0,30.06,6.21,2000.0
7988,68.0,82.86,2.0,29.91,3.73,1500.0
33356,68.0,77.75,13.0,30.0,6.21,1500.0
39105,62.6,77.29,15.0,30.03,6.21,3300.0
4352,53.6,76.5,4.0,30.45,6.21,3000.0
13701,60.8,87.92,2.0,30.0,3.73,2000.0
5818,75.2,38.46,3.0,30.21,6.21,3000.0
37198,66.2,59.74,8.0,30.24,6.21,4300.0
33798,68.0,93.97,3.0,30.0,3.11,500.0
35838,64.4,77.45,5.0,30.09,6.21,2500.0
21081,51.8,87.47,2.0,30.3,6.21,3000.0
38712,78.8,57.6,13.0,29.94,4.97,3000.0
12677,68.0,72.92,3.0,30.39,6.21,2600.0
28827,64.4,77.45,2.0,30.12,6.21,3000.0
29591,64.4,93.88,0.0,30.06,3.73,3000.0
1776,77.0,69.33,3.0,29.94,6.21,4500.0
30566,57.2,87.74,9.0,30.36,6.21,2500.0
35696,69.8,60.21,1.0,30.06,6.21,3000.0
14821,60.8,87.92,5.0,30.03,6.21,1400.0
18337,89.6,46.14,4.0,29.94,6.21,4000.0
13465,55.4,93.65,0.0,30.15,6.21,3000.0
23251,66.2,88.18,3.0,30.09,4.35,2500.0
8767,69.8,94.01,5.0,30.03,6.21,1700.0
6068,64.4,67.95,2.0,30.15,4.35,3000.0
18217,75.2,73.61,4.0,30.06,6.21,1900.0
30054,68.0,59.97,3.0,30.15,6.21,3000.0
17419,71.6,100.0,2.0,30.0,3.73,1500.0
28507,66.2,82.74,4.0,29.97,3.11,800.0
26873,82.4,61.81,5.0,29.97,6.21,3500.0
2120,59.0,93.74,0.0,30.09,4.97,1000.0
14303,64.4,88.09,4.0,30.09,6.21,1500.0
23517,68.0,82.86,11.0,30.12,6.21,3000.0
17043,89.6,38.18,5.0,30.03,6.21,4000.0
18661,73.4,83.21,3.0,29.97,6.21,2500.0
20697,60.8,93.79,2.0,30.06,0.37,200.0
8735,82.4,39.58,10.0,30.0,6.21,3000.0
40008,75.2,60.9,6.0,30.06,6.21,2500.0
1614,75.2,88.59,5.0,30.0,6.21,3000.0
7518,69.8,56.38,4.0,30.09,6.21,3000.0
23775,66.2,72.74,2.0,30.09,3.73,1700.0
23869,75.2,53.55,3.0,30.06,6.21,3000.0
5630,66.2,68.15,10.0,30.12,6.21,3000.0
35492,68.0,82.86,4.0,30.18,6.21,1400.0
31248,64.4,82.62,6.0,30.18,6.21,1500.0
37192,62.6,67.75,2.0,30.33,6.21,2000.0
31674,68.0,82.86,2.0,29.94,6.21,3000.0
34944,71.6,83.09,2.0,30.0,6.21,2000.0
4414,71.6,46.43,6.0,30.3,6.21,3000.0
38822,62.6,63.38,6.0,30.15,6.21,1500.0
16993,80.6,65.54,3.0,30.18,4.35,2000.0
6110,68.0,59.97,5.0,30.21,6.21,3000.0
21297,57.2,93.69,0.0,30.24,1.24,3000.0
2112,64.4,82.62,7.0,30.09,6.21,3000.0
15063,62.6,93.83,2.0,30.03,4.97,2000.0
14513,60.8,87.92,2.0,29.88,6.21,3000.0
3378,60.8,93.79,3.0,30.12,6.21,1500.0
18131,75.2,78.34,8.0,30.03,6.21,2000.0
16935,71.6,73.27,1.0,30.09,6.21,3000.0
36667,68.0,72.92,5.0,30.12,4.97,2500.0
8585,69.8,88.34,4.0,29.94,3.11,2000.0
7698,66.2,93.92,2.0,29.85,6.21,2500.0
3786,71.6,68.75,6.0,29.97,6.21,2500.0
32150,69.8,73.09,8.0,30.18,6.21,3000.0
13881,62.6,82.5,10.0,30.18,6.21,2100.0
10080,82.4,69.9,10.0,29.97,4.97,2000.0
36826,57.2,87.74,3.0,30.12,3.73,1500.0
3576,77.0,53.8,4.0,30.03,6.21,2000.0
33234,77.0,73.78,4.0,30.03,6.21,2500.0
34272,69.8,73.09,11.0,30.0,6.21,4000.0
34908,68.0,93.97,0.0,30.03,2.49,800.0
16127,66.2,93.92,10.0,30.06,3.73,1200.0
21237,68.0,72.92,4.0,30.18,6.21,3000.0
33444,75.2,73.61,3.0,30.09,4.97,1000.0
11914,75.2,57.12,6.0,30.06,6.21,4000.0
5410,62.6,88.0,4.0,30.12,2.49,600.0
28251,78.8,61.36,4.0,30.0,6.21,3000.0
19627,89.6,46.14,5.0,29.88,6.21,3000.0
19667,75.2,88.59,3.0,30.09,6.21,1100.0
33590,68.0,88.26,2.0,30.0,6.21,3000.0
30272,66.2,63.82,9.0,30.21,6.21,2600.0
16387,62.6,82.5,10.0,30.12,6.21,1300.0
33716,80.6,61.58,10.0,29.91,5.59,4000.0
14413,62.6,77.29,3.0,30.18,6.21,3000.0
413,77.0,88.67,3.0,29.85,6.21,3000.0
8823,66.2,73.91634902609485,2.0,30.09,2.49,300.0
14531,68.0,64.04,9.0,29.91,6.21,2500.0
1134,69.8,88.34,4.0,30.03,6.21,1500.0
22761,57.2,82.12,4.0,30.36,2.49,1900.0
714,68.0,93.97,3.0,30.12,3.73,1000.0
31360,82.4,23.07,5.0,30.03,6.21,3000.0
20951,68.0,88.26,0.0,30.0,6.21,3000.0
27633,66.2,82.74,4.0,30.03,6.21,2000.0
8380,84.2,51.47,3.0,29.97,6.21,4500.0
4498,53.6,93.6,1.0,30.27,4.35,3000.0
22943,60.8,82.37,5.0,30.27,6.21,1900.0
12332,55.4,93.65,2.0,30.3,4.97,1200.0
11716,60.8,87.92,1.0,30.24,4.35,2000.0
1186,73.4,83.21,5.0,30.09,6.21,3000.0
4334,51.8,93.55,0.0,30.47,6.21,2500.0
23075,59.0,87.83,4.0,30.33,1.86,900.0
10708,71.6,88.43,2.0,30.12,6.21,3000.0
28839,80.6,44.8,1.0,30.09,6.21,3000.0
3608,68.0,77.75,7.0,30.06,6.21,4000.0
7412,66.2,88.18,4.0,29.97,6.21,3000.0
26705,82.4,45.07,6.0,29.85,6.21,4500.0
1688,73.4,78.19,0.0,29.97,6.21,3000.0
18571,71.6,88.43,1.0,29.97,6.21,1500.0
40191,64.4,82.62,6.0,30.06,6.21,1900.0
35199,68.0,93.97,2.0,29.94,2.49,500.0
33546,75.2,69.14,8.0,29.94,5.59,2000.0
19085,75.2,94.14,3.0,30.0,6.21,3000.0
4932,69.8,52.77,7.0,30.36,6.21,3000.0
23167,60.8,77.14,1.0,30.03,6.21,3000.0
27861,71.6,78.04,3.0,30.06,6.21,3000.0
14295,69.8,64.26,0.0,29.97,6.21,3000.0
744,78.8,73.95,7.0,30.12,6.21,2500.0
10044,68.0,93.97,4.0,29.97,4.97,2000.0
29784,59.0,87.83,2.0,30.21,6.21,3000.0
23297,62.6,72.38,13.0,30.3,6.21,1000.0
598,75.2,88.59,3.0,30.03,6.21,2500.0
27697,64.4,82.62,2.0,30.06,6.21,2000.0
4776,57.2,87.74,3.0,30.21,6.21,3000.0
22717,75.2,60.9,2.0,30.21,6.21,3000.0
4136,66.2,77.6,11.0,30.27,6.21,3000.0
39607,75.2,57.12,6.0,29.94,6.21,3300.0
16229,75.2,78.34,3.0,29.91,6.21,2000.0
10194,84.2,62.03,4.0,29.91,6.21,2000.0
33686,71.6,88.43,2.0,30.0,6.21,2500.0
39152,66.2,77.6,5.0,30.09,6.21,1500.0
11480,71.6,73.27,6.0,30.21,6.21,1600.0
20895,77.0,61.13,3.0,30.0,6.21,3000.0
14167,80.6,32.18,4.0,30.15,6.21,4000.0
16877,89.6,33.56,3.0,30.15,6.21,4000.0
25997,66.2,88.18,3.0,30.03,6.21,1900.0
15619,71.6,78.04,6.0,30.0,6.21,1600.0
12809,69.8,64.26,3.0,30.15,6.21,3000.0
32872,89.6,9.56,4.0,30.06,6.21,4000.0
10802,71.6,88.43,4.0,30.0,6.21,2000.0
32286,75.2,53.55,5.0,29.8,6.21,3000.0
11180,69.8,68.55,4.0,30.24,6.21,2500.0
9150,71.6,88.43,2.0,29.97,5.59,2000.0
14917,73.4,68.94,2.0,30.06,6.21,2000.0
37525,42.8,93.3,0.0,30.33,6.21,3000.0
30194,73.4,49.9,3.0,30.06,6.21,4000.0
36742,60.8,82.37,4.0,30.15,6.21,2500.0
23751,77.0,44.25,4.0,30.12,6.21,4000.0
32802,68.0,77.75,8.0,30.18,6.21,3000.0
14753,62.6,82.5,5.0,30.06,6.21,2300.0
20555,71.6,83.09,3.0,30.09,3.73,1000.0
13129,69.94286417443999,73.91634902609485,2.0,29.7,0.06,3000.0
10586,71.6,83.09,6.0,30.03,6.21,3000.0
35532,71.6,56.63,5.0,30.15,6.21,2500.0
26467,82.4,65.74,9.0,29.91,6.21,4000.0
14069,69.8,64.26,9.0,30.15,6.21,2500.0
10296,71.6,88.43,7.0,29.91,6.21,2100.0
35278,66.2,77.6,3.0,30.12,6.21,4000.0
6242,86.0,30.9,5.0,30.09,6.21,3000.0
13197,60.8,82.37,4.0,30.12,3.73,1500.0
1752,75.2,83.32,14.0,30.06,6.21,2000.0
6534,57.2,93.69,3.0,30.09,4.97,1000.0
35314,68.0,72.92,3.0,30.12,6.21,4000.0
14083,59.0,87.83,4.0,30.24,6.21,3000.0
19269,68.0,93.97,4.354721341298522,30.0,5.527848661404284,3000.0
3042,60.8,93.79,3.0,30.03,6.21,700.0
5770,66.2,72.74,17.0,30.3,6.21,3000.0
9856,73.4,83.21,2.0,29.91,6.21,3000.0
29647,57.2,93.69,2.0,30.12,1.86,200.0
21287,68.0,72.92,3.0,30.21,6.21,3000.0
17045,91.4,43.61,4.0,29.97,6.21,4000.0
12052,57.2,87.74,3.0,30.24,3.73,700.0
22723,86.0,27.03,2.0,30.09,6.21,3000.0
8276,64.4,93.88,2.0,29.97,3.73,3000.0
6902,87.8,29.18,6.0,29.91,6.21,3000.0
39190,68.0,72.92,5.0,30.03,6.21,1500.0
32942,73.4,78.19,4.0,30.03,3.73,1500.0
31090,82.4,26.49,6.0,30.06,6.21,3000.0
8460,73.4,78.19,0.0,29.94,6.21,4000.0
16735,80.6,61.58,14.0,29.83,6.21,3000.0
36183,59.0,93.74,1.0,30.15,3.11,600.0
10780,69.8,88.34,2.0,30.0,6.21,2500.0
33216,86.0,48.58,5.0,29.97,6.21,3500.0
11256,66.2,82.74,4.0,30.21,6.21,3000.0
5494,59.0,87.83,2.0,30.06,4.35,800.0
21935,55.4,81.99,1.0,30.18,6.21,3000.0
1374,68.0,93.97,1.0,30.0,3.11,500.0
3448,66.2,93.92,0.0,30.15,6.21,3000.0
20279,75.2,69.14,2.0,30.03,6.21,4000.0
27317,71.6,94.06,1.0,29.91,3.11,700.0
21551,62.6,77.29,1.0,30.06,6.21,3000.0
9608,71.6,73.27,3.0,30.0,6.21,2000.0
17847,69.8,94.01,1.0,30.03,6.21,1600.0
16913,73.4,68.94,3.0,30.06,6.21,2000.0
5824,64.4,63.6,6.0,30.27,6.21,3000.0
8098,71.6,78.04,10.0,29.8,6.21,1500.0
24475,69.8,82.98,5.0,30.0,6.21,2500.0
10010,69.8,94.01,6.0,30.03,2.49,1000.0
28485,64.4,77.45,3.0,30.12,6.21,2000.0
14319,62.6,88.0,7.0,30.21,6.21,1100.0
8543,82.4,61.81,5.0,30.03,6.21,2500.0
14245,66.2,77.6,3.0,30.15,6.21,2500.0
10976,64.4,93.88,2.0,30.06,4.35,500.0
35759,59.0,100.0,2.0,30.0,0.56,300.0
30440,77.0,33.85,5.0,30.15,6.21,3000.0
15617,71.6,78.04,6.0,30.0,6.21,2500.0
2534,77.0,61.13,6.0,30.03,6.21,3000.0
39664,82.4,34.69,3.0,29.88,6.21,4000.0
22067,62.6,93.83,4.0,30.12,3.11,900.0
27679,60.8,93.79,1.0,30.09,6.21,2000.0
32864,66.2,88.18,0.0,30.15,4.35,3000.0
4270,77.0,41.42,4.0,30.15,6.21,3000.0
5372,62.6,82.5,0.0,30.12,4.97,900.0
34358,75.2,69.14,4.0,29.94,6.21,1500.0
17675,71.6,88.43,2.0,30.09,6.21,4000.0
37309,55.4,87.65,5.0,30.21,1.86,1000.0
12266,64.4,82.62,1.0,30.09,6.21,3000.0
7934,68.0,77.75,8.0,29.94,6.21,2000.0
3058,78.8,41.69,7.0,29.97,6.21,3000.0
33132,68.0,93.97,3.0,30.06,6.21,4000.0
7250,59.0,87.83,2.0,30.09,3.11,3000.0
1608,86.0,51.72,3.0,29.91,6.21,4000.0
14583,50.0,87.37,2.0,30.27,4.97,1500.0
3756,75.2,69.14,5.0,30.03,6.21,3000.0
12158,64.4,77.45,14.0,30.27,6.21,2000.0
697,84.2,62.03,6.0,30.15,6.21,2000.0
28417,73.4,43.69,3.0,30.03,6.21,3000.0
19151,80.6,69.71,10.0,29.94,6.21,3000.0
4714,57.2,82.12,2.0,30.36,6.21,1300.0
8036,69.8,77.9,6.0,30.0,6.21,1200.0
32360,62.6,63.38,8.0,30.06,6.21,4000.0
33668,73.4,83.21,2.0,29.94,3.73,1100.0
40544,71.6,60.44,13.0,29.88,6.21,2700.0
33962,84.2,48.32,4.0,30.03,6.21,3000.0
11442,69.8,82.98,8.0,30.15,6.21,2000.0
37699,57.2,38.26,7.0,30.18,6.21,3000.0
16605,68.0,100.0,0.0,29.88,2.49,1500.0
24317,66.2,93.92,0.0,30.0,6.21,1300.0
16481,68.0,93.97,11.0,29.91,4.97,1200.0
33368,75.2,64.91,6.0,30.0,6.21,2600.0
14097,64.4,72.56,7.0,30.3,6.21,2500.0
31930,75.2,53.55,11.0,29.97,6.21,3000.0
15165,75.2,78.34,4.0,30.03,4.35,2000.0
36385,51.8,87.47,2.0,30.18,6.21,3000.0
3708,64.4,93.88,0.0,30.0,2.49,300.0
67,86.0,55.04,11.0,29.85,6.21,3000.0
2178,77.0,53.8,5.0,30.06,6.21,3000.0
643,69.8,100.0,2.0,30.0,3.11,900.0
38114,87.8,12.64,3.0,30.03,6.21,3000.0
21701,59.0,93.74,0.0,30.09,6.21,3000.0
23187,62.6,82.5,3.0,30.09,6.21,2000.0
32620,87.8,43.07,5.0,29.94,6.21,4000.0
10828,71.6,88.43,0.0,29.94,6.21,3000.0
23915,73.4,56.88,7.0,30.06,6.21,3000.0
18891,75.2,73.61,4.0,30.06,6.21,4000.0
17561,69.8,94.01,2.0,30.09,6.21,3000.0
31200,77.0,47.25,7.0,30.24,6.21,3500.0
24517,82.4,51.21,4.0,30.06,6.21,4000.0
496,68.0,93.97,3.0,30.09,4.35,600.0
10346,75.2,83.32,5.0,29.88,6.21,2500.0
38905,80.6,41.97,4.0,30.09,6.21,3000.0
970,69.8,82.98,2.0,30.03,5.59,1400.0
16685,75.2,60.9,6.0,29.91,6.21,3000.0
34466,71.6,78.04,4.0,30.0,6.21,4500.0
11802,66.2,82.74,5.0,30.09,6.21,2000.0
36398,69.8,56.38,3.0,30.12,3.73,3000.0
10570,68.0,93.97,0.0,29.94,2.49,1000.0
3516,60.8,93.79,3.0,30.15,6.21,2000.0
27789,71.6,73.27,5.0,30.06,6.21,3000.0
20641,64.4,82.62,2.0,30.15,6.21,3000.0
8541,77.0,73.78,4.0,30.06,6.21,1300.0
10590,71.6,83.09,3.0,30.03,6.21,1300.0
35651,69.8,64.26,11.0,30.03,6.21,3000.0
26187,64.4,88.09,3.0,29.91,6.21,3000.0
18483,75.2,88.59,3.0,29.83,6.21,1300.0
2074,60.8,87.92,5.0,30.09,6.21,1500.0
9466,66.2,77.6,6.0,29.97,6.21,3000.0
21691,80.6,44.8,4.0,30.03,6.21,3000.0
32154,64.4,82.62,5.0,30.18,6.21,4000.0
5838,80.6,34.41,4.0,30.15,6.21,3000.0
24219,69.8,68.55,0.0,29.97,6.21,3000.0
21795,60.8,93.79,2.0,29.97,4.35,400.0
29868,77.0,38.74,4.0,30.0,6.21,3000.0
3432,64.4,93.88,3.0,30.21,1.86,100.0
15057,66.2,88.18,5.0,30.03,6.21,3000.0
12727,68.0,72.92,2.0,30.27,4.97,2000.0
7514,51.8,93.55,2.0,30.06,6.21,3000.0
34000,86.0,42.8,6.0,29.97,6.21,3500.0
17371,69.8,94.01,4.0,29.97,6.21,1700.0
38162,51.8,76.34,2.0,30.06,4.35,3000.0
17861,78.8,73.95,5.0,30.0,6.21,3000.0
18235,66.2,93.92,4.0,30.0,6.21,1100.0
8434,69.8,88.34,3.0,29.97,6.21,2000.0
35152,78.8,61.36,3.0,29.97,6.21,4000.0
33714,86.0,55.04,4.0,29.94,6.21,3000.0
21441,51.8,93.55,3.0,30.21,3.11,3000.0
14037,59.0,82.25,4.0,30.12,3.73,1300.0
29826,78.8,41.69,0.0,30.21,6.21,3000.0
18147,96.8,32.54,6.0,29.94,6.21,4000.0
17905,86.0,58.55,4.0,30.09,6.21,3000.0
24301,82.4,48.05,5.0,30.09,5.59,4000.0
13637,73.4,56.88,5.0,30.18,6.21,3000.0
33542,80.6,57.84,6.0,29.97,6.21,2500.0
38033,78.8,39.02,3.0,30.03,6.21,4000.0
26913,71.6,88.43,3.0,30.03,6.21,600.0
36630,73.4,60.67,2.0,30.06,6.21,4000.0
24725,71.6,78.04,4.0,29.91,3.73,1200.0
4740,69.8,60.21,5.0,30.21,6.21,3000.0
9358,69.8,88.34,4.0,29.88,2.49,700.0
16139,64.4,93.88,2.0,30.0,3.73,1200.0
20089,71.6,88.43,9.0,30.15,6.21,3300.0
25949,66.2,88.18,4.0,29.97,6.21,1100.0
8282,84.2,45.34,5.0,30.0,6.21,4000.0
24421,75.2,57.12,3.0,29.94,4.97,2500.0
35738,64.4,77.45,2.0,30.09,6.21,1000.0
25411,66.2,72.74,9.0,30.0,6.21,1900.0
11444,69.8,82.98,6.0,30.15,6.21,2000.0
37226,55.4,87.65,5.0,30.27,3.11,1300.0
19125,84.2,54.8,3.0,30.0,6.21,3000.0
19259,66.2,93.92,0.0,29.94,2.49,1200.0
34756,68.0,93.97,3.0,29.94,3.11,500.0
4274,68.0,64.04,2.0,30.18,6.21,2500.0
18603,82.4,61.81,3.0,30.03,6.21,2000.0
11348,68.0,82.86,4.0,30.18,6.21,4000.0
37432,75.2,43.97,2.0,30.03,6.21,3000.0
7980,71.6,73.27,17.0,29.83,6.21,4000.0
1490,69.8,94.01,1.0,29.97,3.11,400.0
32156,62.6,88.0,4.0,30.12,6.21,4000.0
10422,75.2,83.32,3.0,30.0,6.21,2500.0
31856,96.8,28.63,10.0,29.88,3.73,4000.0
7554,77.0,53.8,5.0,29.97,6.21,2000.0
161,84.2,65.95,3.0,30.03,6.21,3000.0
9152,69.8,94.01,0.0,30.0,6.21,3000.0
4688,57.2,76.82,8.0,30.3,6.21,700.0
9041,75.2,78.34,0.0,30.09,6.21,1200.0
25331,69.8,68.55,2.0,30.03,6.21,2300.0
689,69.8,100.0,5.0,30.12,6.21,2000.0
36604,68.0,68.35,7.0,30.27,4.97,3000.0
10390,89.6,52.23,6.0,29.88,6.21,2000.0
29886,84.2,28.63,14.0,29.97,6.21,4000.0
23477,64.4,82.62,9.0,30.09,6.21,1100.0
39368,78.8,41.69,5.0,29.94,6.21,4500.0
26719,60.8,93.79,0.0,29.94,1.24,200.0
22517,53.6,93.6,2.0,30.3,3.73,600.0
23783,62.6,88.0,3.0,30.12,3.73,1500.0
4402,50.0,93.5,0.0,30.33,3.11,3000.0
17859,91.4,49.36,5.0,29.7,6.21,4000.0
19121,73.4,100.0,3.0,30.06,5.59,800.0
20349,75.2,78.34,9.0,30.09,6.21,3000.0
12384,60.8,93.79,2.0,29.97,3.11,1500.0
15243,71.6,94.06,3.0,29.7,3.73,1100.0
30608,60.8,82.37,2.0,30.36,4.35,1300.0
25535,62.6,63.38,6.0,30.03,6.21,3000.0
8607,68.0,88.26,4.0,29.85,3.11,1200.0
26327,77.0,83.44,4.0,30.0,6.21,2500.0
18213,68.0,88.26,3.0,30.09,6.21,2000.0
23135,64.4,72.56,3.0,30.15,6.21,3000.0
24653,68.0,82.86,4.0,30.06,6.21,4300.0
10830,68.0,88.26,0.0,29.91,4.97,1200.0
443,69.8,100.0,1.0,29.97,4.35,1800.0
26197,77.0,61.13,4.0,29.88,6.21,4000.0
38370,75.2,50.17,13.0,30.12,6.21,4000.0
9632,69.8,73.91634902609485,0.0,30.03,6.21,3000.0
27609,68.0,88.26,3.0,30.03,4.35,700.0
32682,66.2,77.6,17.0,29.8,6.21,1900.0
39491,64.4,88.09,10.0,30.18,0.62,1900.0
6334,80.6,36.79,4.0,30.18,6.21,4000.0
36656,64.4,82.62,3.0,30.12,6.21,1300.0
22399,55.4,100.0,2.0,30.12,2.49,3000.0
10128,73.4,94.1,6.0,29.7,3.73,3000.0
217,71.6,88.43,2.0,29.97,6.21,2000.0
17167,78.8,65.33,3.0,29.91,6.21,2000.0
24423,78.8,50.69,4.0,29.91,6.21,2500.0
6834,64.4,82.62,11.0,30.24,6.21,1500.0
11308,62.6,93.83,0.0,30.03,4.97,1500.0
35890,73.4,46.71,3.0,30.18,6.21,3000.0
26363,84.2,62.03,3.0,29.94,6.21,3000.0
15865,64.4,77.45,14.0,30.03,6.21,3000.0
19577,75.2,69.14,3.0,30.03,2.49,2000.0
13081,59.0,100.0,0.0,30.15,1.55,300.0
19939,75.2,64.91,9.0,29.94,6.21,4000.0
12805,73.4,53.29,2.0,30.12,6.21,3000.0
34388,73.4,73.44,2.0,29.85,6.21,3000.0
10222,75.2,88.59,6.0,29.85,5.59,3000.0
26919,80.6,65.54,3.0,29.97,6.21,2000.0
40673,66.2,88.18,2.0,29.97,3.73,1300.0
3082,71.6,73.27,7.0,30.09,6.21,3000.0
31268,66.2,82.74,3.0,30.12,6.21,3000.0
14331,57.2,93.69,7.0,30.33,0.62,300.0
1956,68.0,77.75,7.0,30.06,6.21,1200.0
17797,69.8,100.0,1.0,30.03,6.21,1000.0
3350,66.2,93.92,0.0,30.09,3.73,600.0
936,71.6,94.06,7.0,30.03,6.21,4000.0
14163,71.6,60.44,5.0,30.24,6.21,3000.0
29503,75.2,64.91,6.0,30.18,6.21,3000.0
32084,75.2,50.17,9.0,30.06,6.21,3000.0
31094,64.4,77.45,10.0,30.12,6.21,3000.0
31306,68.0,82.86,2.0,30.03,6.21,1700.0
30572,66.2,63.82,7.0,30.36,6.21,2000.0
18071,87.8,45.88,0.0,30.09,6.21,3000.0
35134,77.0,78.48,2.0,30.03,6.21,3000.0
36449,66.2,77.6,2.0,29.88,6.21,3000.0
37024,64.4,72.56,2.0,30.12,6.21,2000.0
31020,55.4,76.66,4.0,30.27,6.21,3000.0
28393,66.2,82.74,4.0,30.09,6.21,2000.0
27985,71.6,88.43,3.0,29.97,6.21,4000.0
36053,73.4,53.29,8.0,30.18,6.21,4000.0
16157,66.2,93.92,3.0,29.94,6.21,3000.0
36707,64.4,88.09,5.0,30.15,3.11,900.0
39364,68.0,64.04,5.0,30.03,6.21,1500.0
40577,62.6,82.5,5.0,29.94,6.21,2000.0
30924,60.8,93.79,2.0,29.97,6.21,3000.0
